tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1 days 00:17:00,2020-11-01 07:38:25.324,2020-11-01 07:47:45.409,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3268,Lafayette Park,40.71346382669195,-74.06285852193832,28012,Subscriber,1986,Male
0 days 06:35:00,2020-11-01 07:38:49.638,2020-11-01 08:07:08.302,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42436,Subscriber,1989,Female
0 days 22:52:00,2020-11-01 07:40:07.670,2020-11-01 07:47:01.951,3199,Newport Pkwy,40.7287448,-74.0321082,3681,Grand St,40.71517767732029,-74.03768330812454,45919,Subscriber,1985,Male
0 days 09:47:00,2020-11-01 07:44:30.398,2020-11-01 07:54:52.349,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42303,Subscriber,1987,Female
0 days 05:31:00,2020-11-01 07:45:37.381,2020-11-01 07:50:34.813,3195,Sip Ave,40.73089709786179,-74.06391263008118,3225,Baldwin at Montgomery,40.7236589,-74.0641943,41696,Subscriber,1988,Male
0 days 11:41:00,2020-11-01 07:57:17.516,2020-11-01 08:33:16.645,3220,5 Corners Library,40.73496102000952,-74.0595030784607,3195,Sip Ave,40.73089709786179,-74.06391263008118,46536,Subscriber,1959,Male
0 days 08:40:00,2020-11-01 08:03:51.668,2020-11-01 08:10:15.958,3209,Brunswick St,40.7241765,-74.0506564,3275,Columbus Drive,40.71835519823214,-74.03891444206238,44225,Subscriber,1980,Male
1 days 04:04:00,2020-11-01 08:09:15.959,2020-11-01 08:33:14.630,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,26719,Subscriber,1993,Female
0 days 08:54:00,2020-11-01 08:09:46.762,2020-11-01 08:25:50.335,3192,Liberty Light Rail,40.7112423,-74.0557013,3193,Lincoln Park,40.7246050998869,-74.07840594649315,47054,Customer,1969,Unknown
0 days 03:09:00,2020-11-01 08:09:58.509,2020-11-01 09:23:10.541,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42436,Subscriber,1989,Female
0 days 05:57:00,2020-11-01 08:16:52.887,2020-11-01 09:03:33.548,3192,Liberty Light Rail,40.7112423,-74.0557013,3184,Paulus Hook,40.7141454,-74.0335519,42574,Customer,1969,Unknown
3 days 11:32:00,2020-11-01 08:16:54.696,2020-11-01 08:20:06.851,3203,Hamilton Park,40.727595966,-74.044247311,3211,Newark Ave,40.72152515,-74.046304543,42788,Subscriber,1974,Male
0 days 08:34:00,2020-11-01 08:21:43.154,2020-11-01 08:26:13.052,3187,Warren St,40.7211236,-74.03805095,3681,Grand St,40.71517767732029,-74.03768330812454,19976,Subscriber,1957,Male
0 days 03:58:00,2020-11-01 08:30:20.741,2020-11-01 09:14:03.453,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42597,Subscriber,1971,Female
0 days 03:22:00,2020-11-01 08:37:09.088,2020-11-01 08:49:52.068,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42368,Subscriber,1973,Male
0 days 03:26:00,2020-11-01 08:41:56.840,2020-11-01 08:43:47.934,3213,Van Vorst Park,40.71848892,-74.047726625,3185,City Hall,40.7177325,-74.043845,39160,Subscriber,1967,Female
0 days 03:48:00,2020-11-01 08:46:28.178,2020-11-01 09:04:18.676,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,42363,Subscriber,1966,Male
0 days 01:11:00,2020-11-01 08:47:24.145,2020-11-01 08:53:00.319,3213,Van Vorst Park,40.71848892,-74.047726625,3187,Warren St,40.7211236,-74.03805095,44239,Subscriber,1964,Female
0 days 13:52:00,2020-11-01 08:48:07.315,2020-11-01 09:02:08.286,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,29376,Subscriber,1974,Male
0 days 04:07:00,2020-11-01 08:48:20.323,2020-11-01 08:56:51.464,3202,Newport PATH,40.7272235,-74.0337589,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,44913,Subscriber,1991,Female
0 days 07:07:00,2020-11-01 08:54:02.934,2020-11-01 08:58:39.122,3195,Sip Ave,40.73089709786179,-74.06391263008118,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,46536,Subscriber,1994,Female
