tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0 days 00:02:48,2020-12-01 06:32:33.380,2020-12-01 06:35:21.464,3681,Grand St,40.71517767732029,-74.03768330812454,3275,Columbus Drive,40.71835519823214,-74.03891444206238,14598,Subscriber,1985,Male
0 days 00:04:51,2020-12-01 06:33:44.877,2020-12-01 06:38:36.425,3187,Warren St,40.7211236,-74.03805095,3205,JC Medical Center,40.71653978099194,-74.0496379137039,45683,Subscriber,1990,Male
0 days 00:05:13,2020-12-01 06:33:46.332,2020-12-01 06:38:59.494,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73089709786179,-74.06391263008118,27622,Customer,1969,Unknown
0 days 00:29:16,2020-12-01 06:35:21.332,2020-12-01 07:04:37.982,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,42147,Subscriber,1985,Male
0 days 00:03:26,2020-12-01 06:36:29.199,2020-12-01 06:39:56.102,3203,Hamilton Park,40.727595966,-74.044247311,3211,Newark Ave,40.72152515,-74.046304543,27808,Customer,2000,Male
0 days 00:04:17,2020-12-01 06:43:58.780,2020-12-01 06:48:15.894,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,31092,Subscriber,1967,Male
0 days 00:07:54,2020-12-01 06:57:11.275,2020-12-01 07:05:06.134,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29718,Subscriber,1989,Male
0 days 00:03:14,2020-12-01 06:57:28.535,2020-12-01 07:00:43.300,3212,Christ Hospital,40.734785818,-74.050443636,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,44388,Subscriber,1982,Male
0 days 00:05:43,2020-12-01 06:58:27.615,2020-12-01 07:04:11.494,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3187,Warren St,40.7211236,-74.03805095,38978,Subscriber,1991,Male
0 days 00:04:48,2020-12-01 06:59:25.588,2020-12-01 07:04:14.302,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42423,Subscriber,1980,Male
0 days 00:06:04,2020-12-01 07:07:00.646,2020-12-01 07:13:04.977,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3638,Washington St,40.7242941,-74.0354826,42117,Subscriber,1989,Male
0 days 00:04:26,2020-12-01 07:09:53.016,2020-12-01 07:14:19.117,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42788,Subscriber,1984,Female
0 days 00:06:40,2020-12-01 07:12:57.316,2020-12-01 07:19:37.857,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,46541,Subscriber,1990,Male
